course_ref,subject_ref,requirement_type,minimum_grade
CHUKA-1124,CHE,OPTIONAL,C
KSU-1130,ENG,COMPULSORY,C+
KSU-1130,KIS,ALTERNATIVE,C+
KSU-1130,BIO,COMPULSORY,C+
KSU-1130,AGR,ALTERNATIVE,C+
KSU-1130,CHE,OPTIONAL,C
JOOUS-1133,ENG,COMPULSORY,C+
JOOUS-1133,KIS,ALTERNATIVE,C+
JOOUS-1133,MATH101,COMPULSORY,C
JOOUS-1133,GEO,OPTIONAL,C
CHUKA-1139,ENG,COMPULSORY,C+
CHUKA-1139,KIS,ALTERNATIVE,C+
CHUKA-1139,MATH101,COMPULSORY,C
CHUKA-1139,GEO,OPTIONAL,C
MMUOS-1145,ENG,COMPULSORY,C+
MMUOS-1145,KIS,ALTERNATIVE,C+
MMUOS-1145,MATH101,COMPULSORY,C
MMUOS-1145,GEO,OPTIONAL,C
TUM-1146,ENG,COMPULSORY,C+
TUM-1146,KIS,ALTERNATIVE,C+
TUM-1146,MATH101,COMPULSORY,C
TUM-1146,GEO,OPTIONAL,C
MSU-1151,ENG,COMPULSORY,C+
MSU-1151,KIS,ALTERNATIVE,C+
MSU-1151,MATH101,COMPULSORY,C+
MSU-1151,COMP067,ALTERNATIVE,C+
MSU-1151,PHY,OPTIONAL,C
UOE-1158,ENG,COMPULSORY,C+
UOE-1158,KIS,ALTERNATIVE,C+
UOE-1158,MATH101,COMPULSORY,C
UOE-1158,GEO,OPTIONAL,C
LU-1159,ENG,COMPULSORY,C+
LU-1159,KIS,ALTERNATIVE,C+
LU-1159,MATH101,COMPULSORY,C
LU-1159,GEO,OPTIONAL,C
UOE-1165,ENG,COMPULSORY,C+
UOE-1165,KIS,ALTERNATIVE,C+
UOE-1165,MATH101,COMPULSORY,C
UOE-1165,GEO,OPTIONAL,C
TTU-1171,ENG,COMPULSORY,C+
TTU-1171,KIS,ALTERNATIVE,C+
TTU-1171,MATH101,COMPULSORY,C
TTU-1171,GEO,OPTIONAL,C
UOE-1177,ENG,COMPULSORY,C+
UOE-1177,KIS,ALTERNATIVE,C+
UOE-1177,MATH101,COMPULSORY,C+
UOE-1177,COMP067,ALTERNATIVE,C+
UOE-1177,PHY,OPTIONAL,C
KU-1183,ENG,COMPULSORY,C+
KU-1183,KIS,ALTERNATIVE,C+
KU-1183,MATH101,COMPULSORY,C+
KU-1183,COMP067,ALTERNATIVE,C+
KU-1183,PHY,OPTIONAL,C
UON-1189,ENG,COMPULSORY,C+
UON-1189,KIS,ALTERNATIVE,C+
UON-1189,MATH101,COMPULSORY,C
UON-1189,GEO,OPTIONAL,C
MSU-1190,ENG,COMPULSORY,C+
MSU-1190,KIS,ALTERNATIVE,C+
MSU-1190,MATH101,COMPULSORY,C+
MSU-1190,COMP067,ALTERNATIVE,C+
MSU-1190,PHY,OPTIONAL,C
CHUKA-1196,ENG,COMPULSORY,C+
CHUKA-1196,KIS,ALTERNATIVE,C+
CHUKA-1196,MATH101,COMPULSORY,C+
CHUKA-1196,COMP067,ALTERNATIVE,C+
CHUKA-1196,PHY,OPTIONAL,C
GU-1203,ENG,COMPULSORY,C+
GU-1203,KIS,ALTERNATIVE,C+
GU-1203,MATH101,COMPULSORY,C+
GU-1203,COMP067,ALTERNATIVE,C+
GU-1203,PHY,OPTIONAL,C
KSU-1209,ENG,COMPULSORY,C+
KSU-1209,KIS,ALTERNATIVE,C+
KSU-1209,MATH101,COMPULSORY,C+
KSU-1209,COMP067,ALTERNATIVE,C+
KSU-1209,PHY,OPTIONAL,C
CUK-1210,ENG,COMPULSORY,C+
CUK-1210,KIS,ALTERNATIVE,C+
CUK-1210,MATH101,COMPULSORY,C+
CUK-1210,COMP067,ALTERNATIVE,C+
CUK-1210,PHY,OPTIONAL,C
MUT-1217,ENG,COMPULSORY,C+
MUT-1217,KIS,ALTERNATIVE,C+
MUT-1217,MATH101,COMPULSORY,C+
MUT-1217,COMP067,ALTERNATIVE,C+
MUT-1217,PHY,OPTIONAL,C
TTU-1224,ENG,COMPULSORY,C+
TTU-1224,KIS,ALTERNATIVE,C+
TTU-1224,MATH101,COMPULSORY,C+
TTU-1224,PHY,COMPULSORY,C+
TTU-1224,COMP067,OPTIONAL,C
UOE-1226,ENG,COMPULSORY,C+
UOE-1226,KIS,ALTERNATIVE,C+
UOE-1226,MATH101,COMPULSORY,C+
UOE-1226,PHY,COMPULSORY,C+
UOE-1226,COMP067,OPTIONAL,C
TUM-1227,ENG,COMPULSORY,C+
TUM-1227,KIS,ALTERNATIVE,C+
TUM-1227,MATH101,COMPULSORY,C+
TUM-1227,PHY,COMPULSORY,C+
TUM-1227,COMP067,OPTIONAL,C
TUK-1233,ENG,COMPULSORY,C+
TUK-1233,KIS,ALTERNATIVE,C+
TUK-1233,MATH101,COMPULSORY,C+
TUK-1233,PHY,COMPULSORY,C+
TUK-1233,COMP067,OPTIONAL,C
UON-1240,ENG,COMPULSORY,C+
UON-1240,KIS,ALTERNATIVE,C+
UON-1240,MATH101,COMPULSORY,C+
UON-1240,PHY,COMPULSORY,C+
UON-1240,COMP067,OPTIONAL,C
TUM-1245,ENG,COMPULSORY,C+
TUM-1245,KIS,ALTERNATIVE,C+
TUM-1245,MATH101,COMPULSORY,C+
TUM-1245,PHY,COMPULSORY,C+
TUM-1245,COMP067,OPTIONAL,C
CHUKA-1252,ENG,COMPULSORY,C+
CHUKA-1252,KIS,ALTERNATIVE,C+
CHUKA-1252,MATH101,COMPULSORY,C+
CHUKA-1252,PHY,COMPULSORY,C+
CHUKA-1252,COMP067,OPTIONAL,C
SEKU-1259,ENG,COMPULSORY,C+
SEKU-1259,KIS,ALTERNATIVE,C+
SEKU-1259,MATH101,COMPULSORY,C+
SEKU-1259,PHY,COMPULSORY,C+
SEKU-1259,COMP067,OPTIONAL,C
JKUAT-1264,ENG,COMPULSORY,C+
JKUAT-1264,KIS,ALTERNATIVE,C+
JKUAT-1264,MATH101,COMPULSORY,C+
JKUAT-1264,PHY,COMPULSORY,C+
JKUAT-1264,COMP067,OPTIONAL,C
UON-1271,ENG,COMPULSORY,C+
UON-1271,KIS,ALTERNATIVE,C+
UON-1271,MATH101,COMPULSORY,C+
UON-1271,PHY,COMPULSORY,C+
UON-1271,COMP067,OPTIONAL,C
KU-1278,ENG,COMPULSORY,C+
KU-1278,KIS,ALTERNATIVE,C+
KU-1278,MATH101,COMPULSORY,C+
KU-1278,PHY,COMPULSORY,C+
KU-1278,COMP067,OPTIONAL,C
TUM-1285,ENG,COMPULSORY,C+
TUM-1285,KIS,ALTERNATIVE,C+
TUM-1285,MATH101,COMPULSORY,C+
TUM-1285,PHY,COMPULSORY,C+
TUM-1285,COMP067,OPTIONAL,C
UON-1292,ENG,COMPULSORY,C+
UON-1292,KIS,ALTERNATIVE,C+
UON-1292,MATH101,COMPULSORY,C+
UON-1292,PHY,COMPULSORY,C+
UON-1292,COMP067,OPTIONAL,C
TUK-1299,ENG,COMPULSORY,C+
TUK-1299,KIS,ALTERNATIVE,C+
TUK-1299,MATH101,COMPULSORY,C+
TUK-1299,PHY,COMPULSORY,C+
TUK-1299,COMP067,OPTIONAL,C
CHUKA-1306,ENG,COMPULSORY,C+
CHUKA-1306,KIS,ALTERNATIVE,C+
CHUKA-1306,MATH101,COMPULSORY,C
CHUKA-1306,GEO,OPTIONAL,C
UOE-1312,ENG,COMPULSORY,C+
UOE-1312,KIS,ALTERNATIVE,C+
UOE-1312,MATH101,COMPULSORY,C
UOE-1312,GEO,OPTIONAL,C
MUST-1318,ENG,COMPULSORY,C-
MUST-1318,KIS,ALTERNATIVE,C-
MUST-1318,MATH101,COMPULSORY,C
MUST-1318,GEO,OPTIONAL,C
LU-1324,ENG,COMPULSORY,C+
LU-1324,KIS,ALTERNATIVE,C+
LU-1324,MATH101,COMPULSORY,C+
LU-1324,BST,ALTERNATIVE,C+
TMU-1330,ENG,COMPULSORY,C+
TMU-1330,KIS,ALTERNATIVE,C+
TMU-1330,MATH101,COMPULSORY,C+
TMU-1330,COMP067,ALTERNATIVE,C+
TMU-1330,PHY,OPTIONAL,C
EU-1342,ENG,COMPULSORY,C+
EU-1342,KIS,ALTERNATIVE,C+
EU-1342,MATH101,COMPULSORY,C+
EU-1342,PHY,COMPULSORY,C+
EU-1342,COMP067,OPTIONAL,C
KU-1349,ENG,COMPULSORY,C+
KU-1349,KIS,ALTERNATIVE,C+
KU-1349,MATH101,COMPULSORY,C+
KU-1349,PHY,COMPULSORY,C+
KU-1349,COMP067,OPTIONAL,C
UOE-1356,ENG,COMPULSORY,C+
UOE-1356,KIS,ALTERNATIVE,C+
UOE-1356,MATH101,COMPULSORY,C+
UOE-1356,PHY,COMPULSORY,C+
UOE-1356,COMP067,OPTIONAL,C
JKUAT-1362,ENG,COMPULSORY,C+
JKUAT-1362,KIS,ALTERNATIVE,C+
JKUAT-1362,MATH101,COMPULSORY,C+
JKUAT-1362,PHY,COMPULSORY,C+
JKUAT-1362,COMP067,OPTIONAL,C
UON-1369,ENG,COMPULSORY,C+
UON-1369,KIS,ALTERNATIVE,C+
UON-1369,MATH101,COMPULSORY,C+
UON-1369,PHY,COMPULSORY,C+
UON-1369,COMP067,OPTIONAL,C
CHUKA-1376,ENG,COMPULSORY,C+
CHUKA-1376,KIS,ALTERNATIVE,C+
CHUKA-1376,BIO,COMPULSORY,C+
CHUKA-1376,AGR,ALTERNATIVE,C+
CHUKA-1376,CHE,OPTIONAL,C
EU-1382,ENG,COMPULSORY,C+
EU-1382,KIS,ALTERNATIVE,C+
EU-1382,BIO,COMPULSORY,C+
EU-1382,AGR,ALTERNATIVE,C+
EU-1382,CHE,OPTIONAL,C
TTU-1383,ENG,COMPULSORY,C+
TTU-1383,KIS,ALTERNATIVE,C+
TTU-1383,BIO,COMPULSORY,C+
TTU-1383,AGR,ALTERNATIVE,C+
TTU-1383,CHE,OPTIONAL,C
JKUAT-1389,ENG,COMPULSORY,C+
JKUAT-1389,KIS,ALTERNATIVE,C+
JKUAT-1389,BIO,COMPULSORY,C+
JKUAT-1389,AGR,ALTERNATIVE,C+
JKUAT-1389,CHE,OPTIONAL,C
KSU-1390,ENG,COMPULSORY,C+
KSU-1390,KIS,ALTERNATIVE,C+
KSU-1390,BIO,COMPULSORY,C+
KSU-1390,AGR,ALTERNATIVE,C+
KSU-1390,CHE,OPTIONAL,C
JKUAT-1396,ENG,COMPULSORY,C+
JKUAT-1396,KIS,ALTERNATIVE,C+
JKUAT-1396,BIO,COMPULSORY,C+
JKUAT-1396,AGR,ALTERNATIVE,C+
JKUAT-1396,CHE,OPTIONAL,C
CHUKA-1403,ENG,COMPULSORY,C+
CHUKA-1403,KIS,ALTERNATIVE,C+
CHUKA-1403,MATH101,COMPULSORY,C
CHUKA-1403,GEO,OPTIONAL,C
EU-1409,ENG,COMPULSORY,C+
EU-1409,KIS,ALTERNATIVE,C+
EU-1409,MATH101,COMPULSORY,C
EU-1409,GEO,OPTIONAL,C
MMUOS-1410,ENG,COMPULSORY,C+
MMUOS-1410,KIS,ALTERNATIVE,C+
MMUOS-1410,MATH101,COMPULSORY,C
MMUOS-1410,GEO,OPTIONAL,C
TUM-1414,ENG,COMPULSORY,C+
TUM-1414,KIS,ALTERNATIVE,C+
TUM-1414,MATH101,COMPULSORY,C+
TUM-1414,COMP067,ALTERNATIVE,C+
TUM-1414,PHY,OPTIONAL,C
UON-1427,ENG,COMPULSORY,C+
UON-1427,KIS,ALTERNATIVE,C+
UON-1427,MATH101,COMPULSORY,C
UON-1427,GEO,OPTIONAL,C
TUK-1430,ENG,COMPULSORY,C+
TUK-1430,KIS,ALTERNATIVE,C+
TUK-1430,MATH101,COMPULSORY,C
TUK-1430,GEO,OPTIONAL,C
KSU-1436,ENG,COMPULSORY,C+
KSU-1436,KIS,ALTERNATIVE,C+
KSU-1436,BIO,COMPULSORY,C+
KSU-1436,CHE,COMPULSORY,C+
KSU-1436,MATH101,ALTERNATIVE,C+
KMU-1440,ENG,COMPULSORY,C+
KMU-1440,KIS,ALTERNATIVE,C+
KMU-1440,BIO,COMPULSORY,C+
KMU-1440,CHE,COMPULSORY,C+
KMU-1440,MATH101,ALTERNATIVE,C+
MSU-1443,ENG,COMPULSORY,C+
MSU-1443,KIS,ALTERNATIVE,C+
MSU-1443,MATH101,COMPULSORY,C+
MSU-1443,COMP067,ALTERNATIVE,C+
MSU-1443,PHY,OPTIONAL,C
KMU-1448,ENG,COMPULSORY,C+
KMU-1448,KIS,ALTERNATIVE,C+
KMU-1448,BIO,COMPULSORY,B-
KMU-1448,CHE,COMPULSORY,C+
KMU-1448,MATH101,ALTERNATIVE,C+
KSU-1455,ENG,COMPULSORY,C+
KSU-1455,KIS,ALTERNATIVE,C+
KSU-1455,BIO,COMPULSORY,B-
KSU-1455,CHE,COMPULSORY,C+
KSU-1455,MATH101,ALTERNATIVE,C+
MSU-1469,ENG,COMPULSORY,C+
MSU-1469,KIS,ALTERNATIVE,C+
MSU-1469,MATH101,COMPULSORY,C+
MSU-1469,COMP067,ALTERNATIVE,C+
MSU-1469,PHY,OPTIONAL,C
MU-1476,ENG,COMPULSORY,C+
MU-1476,KIS,ALTERNATIVE,C+
MU-1476,BIO,COMPULSORY,B-
MU-1476,CHE,COMPULSORY,C+
MU-1476,MATH101,ALTERNATIVE,C+
CHUKA-1483,ENG,COMPULSORY,C+
CHUKA-1483,KIS,ALTERNATIVE,C+
CHUKA-1483,BIO,COMPULSORY,C+
CHUKA-1483,CHE,COMPULSORY,C+
CHUKA-1483,MATH101,ALTERNATIVE,C+
KSU-1490,ENG,COMPULSORY,C+
KSU-1490,KIS,ALTERNATIVE,C+
KSU-1490,BIO,COMPULSORY,C+
KSU-1490,CHE,COMPULSORY,C+
KSU-1490,MATH101,ALTERNATIVE,C+
DEKUT-1497,ENG,COMPULSORY,C+
DEKUT-1497,KIS,ALTERNATIVE,C+
DEKUT-1497,BIO,COMPULSORY,C+
DEKUT-1497,CHE,COMPULSORY,C+
DEKUT-1497,MATH101,ALTERNATIVE,C+
MSU-1504,ENG,COMPULSORY,C+
MSU-1504,KIS,ALTERNATIVE,C+
MSU-1504,MATH101,COMPULSORY,C+
MSU-1504,COMP067,ALTERNATIVE,C+
MSU-1504,PHY,OPTIONAL,C
PU-1511,ENG,COMPULSORY,C+
PU-1511,KIS,ALTERNATIVE,C+
PU-1511,BIO,COMPULSORY,C+
PU-1511,CHE,COMPULSORY,C+
PU-1511,MATH101,ALTERNATIVE,C+
CHUKA-1518,ENG,COMPULSORY,C+
CHUKA-1518,KIS,ALTERNATIVE,C+
CHUKA-1518,MATH101,COMPULSORY,C+
CHUKA-1518,BST,ALTERNATIVE,C+
TTU-1525,ENG,COMPULSORY,C+
TTU-1525,KIS,ALTERNATIVE,C+
TTU-1525,MATH101,COMPULSORY,C+
TTU-1525,BST,ALTERNATIVE,C+
CUK-1531,ENG,COMPULSORY,C+
CUK-1531,KIS,ALTERNATIVE,C+
CUK-1531,MATH101,COMPULSORY,C+
CUK-1531,BST,ALTERNATIVE,C+
DEKUT-1532,ENG,COMPULSORY,C+
DEKUT-1532,KIS,ALTERNATIVE,C+
DEKUT-1532,MATH101,COMPULSORY,C+
DEKUT-1532,BST,ALTERNATIVE,C+
CHUKA-1539,ENG,COMPULSORY,C+
CHUKA-1539,KIS,ALTERNATIVE,C+
CHUKA-1539,HIS,ALTERNATIVE,C+
CHUKA-1539,GEO,OPTIONAL,C
UOE-1544,ENG,COMPULSORY,C+
UOE-1544,KIS,ALTERNATIVE,C+
UOE-1544,HIS,ALTERNATIVE,C+
UOE-1544,GEO,OPTIONAL,C
ANU-1546,ENG,COMPULSORY,C+
ANU-1546,KIS,ALTERNATIVE,C+
ANU-1546,HIS,ALTERNATIVE,C+
ANU-1546,GEO,OPTIONAL,C
MSU-1553,ENG,COMPULSORY,C+
MSU-1553,KIS,ALTERNATIVE,C+
MSU-1553,MATH101,COMPULSORY,C+
MSU-1553,COMP067,ALTERNATIVE,C+
MSU-1553,PHY,OPTIONAL,C
CHUKA-1556,ENG,COMPULSORY,C+
CHUKA-1556,KIS,ALTERNATIVE,C+
CHUKA-1556,HIS,ALTERNATIVE,C+
CHUKA-1556,GEO,OPTIONAL,C
MMUOS-1563,ENG,COMPULSORY,C+
MMUOS-1563,KIS,ALTERNATIVE,C+
MMUOS-1563,HIS,ALTERNATIVE,C+
MMUOS-1563,GEO,OPTIONAL,C
JOOUS-1570,ENG,COMPULSORY,C+
JOOUS-1570,KIS,ALTERNATIVE,C+
JOOUS-1570,MATH101,COMPULSORY,C+
JOOUS-1570,COMP067,ALTERNATIVE,C+
JOOUS-1570,PHY,OPTIONAL,C
DU-1586,ENG,COMPULSORY,C+
DU-1586,KIS,ALTERNATIVE,C+
DU-1586,MATH101,COMPULSORY,C+
DU-1586,BST,ALTERNATIVE,C+
TMU-1593,ENG,COMPULSORY,C+
TMU-1593,KIS,ALTERNATIVE,C+
TMU-1593,MATH101,COMPULSORY,C+
TMU-1593,COMP067,ALTERNATIVE,C+
TMU-1593,PHY,OPTIONAL,C
CHUKA-1600,ENG,COMPULSORY,C+
CHUKA-1600,KIS,ALTERNATIVE,C+
CHUKA-1600,MATH101,COMPULSORY,C+
CHUKA-1600,COMP067,ALTERNATIVE,C+
CHUKA-1600,PHY,OPTIONAL,C
UOE-1607,ENG,COMPULSORY,C+
UOE-1607,KIS,ALTERNATIVE,C+
UOE-1607,MATH101,COMPULSORY,C+
UOE-1607,COMP067,ALTERNATIVE,C+
UOE-1607,PHY,OPTIONAL,C
MMUOS-1614,ENG,COMPULSORY,C+
MMUOS-1614,KIS,ALTERNATIVE,C+
MMUOS-1614,HIS,ALTERNATIVE,C+
MMUOS-1614,GEO,OPTIONAL,C
ANU-1621,ENG,COMPULSORY,C+
ANU-1621,KIS,ALTERNATIVE,C+
ANU-1621,MATH101,COMPULSORY,C+
ANU-1621,COMP067,ALTERNATIVE,C+
ANU-1621,PHY,OPTIONAL,C
KMU-1626,ENG,COMPULSORY,C+
KMU-1626,KIS,ALTERNATIVE,C+
KMU-1626,MATH101,COMPULSORY,C+
KMU-1626,COMP067,ALTERNATIVE,C+
KMU-1626,PHY,OPTIONAL,C
KCA-1628,ENG,COMPULSORY,C+
KCA-1628,KIS,ALTERNATIVE,C+
KCA-1628,HIS,ALTERNATIVE,C+
KCA-1628,GEO,OPTIONAL,C
MMU-1634,ENG,COMPULSORY,C+
MMU-1634,KIS,ALTERNATIVE,C+
MMU-1634,HIS,ALTERNATIVE,C+
MMU-1634,GEO,OPTIONAL,C
SPU-1641,ENG,COMPULSORY,C+
SPU-1641,KIS,ALTERNATIVE,C+
SPU-1641,MATH101,COMPULSORY,C+
SPU-1641,COMP067,ALTERNATIVE,C+
SPU-1641,PHY,OPTIONAL,C
KU-1642,ENG,COMPULSORY,C+
KU-1642,KIS,ALTERNATIVE,C+
KU-1642,HIS,ALTERNATIVE,C+
KU-1642,GEO,OPTIONAL,C
MUT-1649,ENG,COMPULSORY,C+
MUT-1649,KIS,ALTERNATIVE,C+
MUT-1649,MATH101,COMPULSORY,C+
MUT-1649,COMP067,ALTERNATIVE,C+
MUT-1649,PHY,OPTIONAL,C
TMU-1655,ENG,COMPULSORY,C+
TMU-1655,KIS,ALTERNATIVE,C+
TMU-1655,MATH101,COMPULSORY,C+
TMU-1655,COMP067,ALTERNATIVE,C+
TMU-1655,PHY,OPTIONAL,C
MSU-1661,ENG,COMPULSORY,C+
MSU-1661,KIS,ALTERNATIVE,C+
MSU-1661,MATH101,COMPULSORY,C+
MSU-1661,COMP067,ALTERNATIVE,C+
MSU-1661,PHY,OPTIONAL,C
SEKU-1662,ENG,COMPULSORY,C+
SEKU-1662,KIS,ALTERNATIVE,C+
SEKU-1662,HIS,ALTERNATIVE,C+
SEKU-1662,GEO,OPTIONAL,C
TUC-1663,ENG,COMPULSORY,C+
TUC-1663,KIS,ALTERNATIVE,C+
TUC-1663,HIS,ALTERNATIVE,C+
TUC-1663,GEO,OPTIONAL,C
CHUKA-1669,ENG,COMPULSORY,C+
CHUKA-1669,KIS,ALTERNATIVE,C+
CHUKA-1669,HIS,ALTERNATIVE,C+
CHUKA-1669,GEO,OPTIONAL,C
JOOUS-1676,ENG,COMPULSORY,C+
JOOUS-1676,KIS,ALTERNATIVE,C+
JOOUS-1676,MATH101,COMPULSORY,C+
JOOUS-1676,COMP067,ALTERNATIVE,C+
JOOUS-1676,PHY,OPTIONAL,C
TMU-1683,ENG,COMPULSORY,C+
TMU-1683,KIS,ALTERNATIVE,C+
TMU-1683,MATH101,COMPULSORY,C+
TMU-1683,COMP067,ALTERNATIVE,C+
TMU-1683,PHY,OPTIONAL,C
CHUKA-1690,ENG,COMPULSORY,C+
CHUKA-1690,KIS,ALTERNATIVE,C+
CHUKA-1690,MATH101,COMPULSORY,C
CHUKA-1690,GEO,OPTIONAL,C
EU-1696,ENG,COMPULSORY,C+
EU-1696,KIS,ALTERNATIVE,C+
EU-1696,MATH101,COMPULSORY,C
EU-1696,GEO,OPTIONAL,C
MMU-1702,ENG,COMPULSORY,C+
MMU-1702,KIS,ALTERNATIVE,C+
MMU-1702,MATH101,COMPULSORY,C
MMU-1702,GEO,OPTIONAL,C
UOE-1703,ENG,COMPULSORY,C+
UOE-1703,KIS,ALTERNATIVE,C+
UOE-1703,HIS,ALTERNATIVE,C+
UOE-1703,GEO,OPTIONAL,C
MMU-1710,ENG,COMPULSORY,C+
MMU-1710,KIS,ALTERNATIVE,C+
MMU-1710,HIS,ALTERNATIVE,C+
MMU-1710,GEO,OPTIONAL,C
MMUOS-1716,ENG,COMPULSORY,C+
MMUOS-1716,KIS,ALTERNATIVE,C+
MMUOS-1716,MATH101,COMPULSORY,C
MMUOS-1716,GEO,OPTIONAL,C
UOE-1722,ENG,COMPULSORY,C+
UOE-1722,KIS,ALTERNATIVE,C+
UOE-1722,MATH101,COMPULSORY,C+
UOE-1722,BST,ALTERNATIVE,C+
CUK-1728,ENG,COMPULSORY,C+
CUK-1728,KIS,ALTERNATIVE,C+
CUK-1728,MATH101,COMPULSORY,C+
CUK-1728,BST,ALTERNATIVE,C+
UON-1731,ENG,COMPULSORY,C+
UON-1731,KIS,ALTERNATIVE,C+
UON-1731,MATH101,COMPULSORY,C+
UON-1731,BST,ALTERNATIVE,C+
TUC-1732,ENG,COMPULSORY,C+
TUC-1732,KIS,ALTERNATIVE,C+
TUC-1732,MATH101,COMPULSORY,C+
TUC-1732,BST,ALTERNATIVE,C+
RU-1735,ENG,COMPULSORY,C+
RU-1735,KIS,ALTERNATIVE,C+
RU-1735,MATH101,COMPULSORY,C
RU-1735,GEO,OPTIONAL,C
