code,title,slug,description,qualification,career,institution,duration_years,career_code
EU-1064,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),bachelor-of-science-actuarial-science-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Actuarial Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Actuarial Science),EGERTON UNIVERSITY,4,CAR-104
CHUKA-1065,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,bachelor-of-science-in-actuarial-science-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Actuarial Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Actuarial Science,CHUKA UNIVERSITY,4,CAR-104
TMU-1072,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",bachelor-of-science-actuarial-science-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Actuarial Science, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Actuarial Science, With It)",TOM MBOYA UNIVERSITY,4,CAR-104
MSU-1078,"BACHELOR OF SCIENCE (ACTUARIAL SCIENCE, WITH IT)",bachelor-of-science-actuarial-science-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Actuarial Science, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Actuarial Science, With It)",MASENO UNIVERSITY,4,CAR-104
UOE-1079,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),bachelor-of-science-industrial-chemistry-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Industrial Chemistry), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Industrial Chemistry),UNIVERSITY OF EMBU,4,CAR-105
CHUKA-1085,BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,bachelor-of-science-in-industrial-chemistry-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Industrial Chemistry, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Industrial Chemistry,CHUKA UNIVERSITY,4,CAR-105
UON-1091,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),bachelor-of-science-industrial-chemistry-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Industrial Chemistry), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Industrial Chemistry),UNIVERSITY OF NAIROBI,4,CAR-105
TMU-1092,"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",bachelor-of-science-industrial-chemistry-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Industrial Chemistry, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Industrial Chemistry, With It)",TOM MBOYA UNIVERSITY,4,CAR-101
RU-1098,BACHELOR OF SCIENCE (MATHEMATICS),bachelor-of-science-mathematics-ru,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Mathematics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Mathematics),RONGO UNIVERSITY,4,CAR-106
CHUKA-1104,BACHELOR OF SCIENCE IN MATHEMATICS,bachelor-of-science-in-mathematics-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Mathematics, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Mathematics,CHUKA UNIVERSITY,4,CAR-106
TMU-1110,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",bachelor-of-science-mathematical-sciences-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Mathematical Sciences, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Mathematical Sciences, With It)",TOM MBOYA UNIVERSITY,4,CAR-101
MSU-1116,"BACHELOR OF SCIENCE (MATHEMATICAL SCIENCES, WITH IT)",bachelor-of-science-mathematical-sciences-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Mathematical Sciences, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Mathematical Sciences, With It)",MASENO UNIVERSITY,4,CAR-101
UON-1117,BACHELOR OF SCIENCE (MATHEMATICS),bachelor-of-science-mathematics-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Mathematics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Mathematics),UNIVERSITY OF NAIROBI,4,CAR-106
UOE-1118,BACHELOR OF SCIENCE (BIOLOGY),bachelor-of-science-biology-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biology),UNIVERSITY OF EMBU,4,CAR-107
CHUKA-1124,BACHELOR OF SCIENCE IN BIOLOGY,bachelor-of-science-in-biology-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Biology, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Biology,CHUKA UNIVERSITY,4,CAR-107
KSU-1130,BACHELOR OF SCIENCE IN BIOLOGY ( BOTANY OR ZOOLOGY OPTION),bachelor-of-science-in-biology-botany-or-zoology-option-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Biology ( Botany Or Zoology Option), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Biology ( Botany Or Zoology Option),KISII UNIVERSITY,4,CAR-107
JOOUS-1133,BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),bachelor-of-sciencebiological-sciences-joous,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science(Biological Sciences), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biological Sciences),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-108
CHUKA-1139,BACHELOR OF SCIENCE (BIOCHEMISTRY),bachelor-of-science-biochemistry-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biochemistry), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biochemistry),CHUKA UNIVERSITY,4,CAR-107
MMUOS-1145,BACHELOR OF SCIENCE (BIOCHEMISTRY),bachelor-of-science-biochemistry-mmuos,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biochemistry), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biochemistry),MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-107
TUM-1146,BACHELOR OF SCIENCE IN BIOCHEMISTRY,bachelor-of-science-in-biochemistry-tum,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Biochemistry, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Biochemistry,TECHNICAL UNIVERSITY OF MOMBASA,4,CAR-107
MSU-1151,"BACHELOR OF SCIENCE (BIOCHEMISTRY, WITH IT)",bachelor-of-science-biochemistry-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biochemistry, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Biochemistry, With It)",MASENO UNIVERSITY,4,CAR-101
UOE-1158,BACHELOR OF SCIENCE IN BIOCHEMISTRY,bachelor-of-science-in-biochemistry-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Biochemistry, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Biochemistry,UNIVERSITY OF ELDORET,4,CAR-107
LU-1159,BACHELOR OF SCIENCE (BIOCHEMISTRY,bachelor-of-science-biochemistry-lu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Biochemistry, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biochemistry,LAIKIPIA UNIVERSITY,4,CAR-107
UOE-1165,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),bachelor-of-science-analytical-chemistry-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Analytical Chemistry), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Analytical Chemistry),UNIVERSITY OF EMBU,4,CAR-105
TTU-1171,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,bachelor-of-science-in-analytical-chemistry-ttu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Analytical Chemistry, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Analytical Chemistry,TAITA TAVETA UNIVERSITY,4,CAR-105
UOE-1177,BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,bachelor-of-science-in-analytical-chemistry-with-computing-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Analytical Chemistry With Computing, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Analytical Chemistry With Computing,UNIVERSITY OF ELDORET,4,CAR-101
KU-1183,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY WITH MANAGEMENT),bachelor-of-science-analytical-chemistry-with-management-ku,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Analytical Chemistry With Management), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Analytical Chemistry With Management),KENYATTA UNIVERSITY,4,CAR-101
UON-1189,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),bachelor-of-science-analytical-chemistry-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Analytical Chemistry), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Analytical Chemistry),UNIVERSITY OF NAIROBI,4,CAR-105
MSU-1190,"BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY, WITH IT)",bachelor-of-science-analytical-chemistry-with-it-msu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Analytical Chemistry, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Analytical Chemistry, With It)",MASENO UNIVERSITY,4,CAR-101
CHUKA-1196,BACHELOR OF SCIENCE (COMPUTER SCIENCE),bachelor-of-science-computer-science-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Computer Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Computer Science),CHUKA UNIVERSITY,4,CAR-109
GU-1203,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,bachelor-of-science-in-computer-science-gu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Computer Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Computer Science,GARISSA UNIVERSITY,4,CAR-109
KSU-1209,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,bachelor-of-science-in-computer-science-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Computer Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Computer Science,KISII UNIVERSITY,4,CAR-109
CUK-1210,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,bachelor-of-science-in-computer-science-cuk,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Computer Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Computer Science,THE CO-OPERATIVE UNIVERSITY OF KENYA,4,CAR-109
MUT-1217,BACHELOR OF SCIENCE (COMPUTER SCIENCE,bachelor-of-science-computer-science-mut,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Computer Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Computer Science,MURANG'A UNIVERSITY OF TECHNOLOGY,4,CAR-109
TTU-1224,BACHELOR OF SCIENCE (CIVIL ENGINEERING),bachelor-of-science-civil-engineering-ttu,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Civil Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Civil Engineering),TAITA TAVETA UNIVERSITY,5,CAR-110
UOE-1226,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,bachelor-of-science-in-civil-engineering-uoe,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science In Civil Engineering, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Civil Engineering,UNIVERSITY OF EMBU,5,CAR-110
TUM-1227,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,bachelor-of-science-in-civil-engineering-tum,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science In Civil Engineering, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Civil Engineering,TECHNICAL UNIVERSITY OF MOMBASA,5,CAR-110
TUK-1233,BACHELOR OF ENGINEERING (CIVIL ENGINEERING),bachelor-of-engineering-civil-engineering-tuk,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Engineering (Civil Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Engineering (Civil Engineering),THE TECHNICAL UNIVERSITY OF KENYA,5,CAR-110
UON-1240,BACHELOR OF SCIENCE (CIVIL ENGINEERING),bachelor-of-science-civil-engineering-uon,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Civil Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Civil Engineering),UNIVERSITY OF NAIROBI,5,CAR-110
TUM-1245,BACHELOR OF SCIENCE IN ELECTRICAL & ELECTRONIC ENGINEERING,bachelor-of-science-in-electrical-electronic-engineering-tum,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science In Electrical & Electronic Engineering, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Electrical & Electronic Engineering,TECHNICAL UNIVERSITY OF MOMBASA,5,CAR-111
CHUKA-1252,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONICS ENGINEERING,bachelor-of-science-in-electrical-and-electronics-engineering-chuka,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science In Electrical And Electronics Engineering, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Electrical And Electronics Engineering,CHUKA UNIVERSITY,5,CAR-111
SEKU-1259,BACHELOR OF SCIENCE (ELECTRICAL AND ELECTRONICS ENGINEERING),bachelor-of-science-electrical-and-electronics-engineering-seku,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Electrical And Electronics Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Electrical And Electronics Engineering),SOUTH EASTERN KENYA UNIVERSITY,5,CAR-111
JKUAT-1264,BACHELOR OF SCIENCE IN ELECTRICAL AND ELECTRONIC ENGINEERING,bachelor-of-science-in-electrical-and-electronic-engineering-jkuat,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science In Electrical And Electronic Engineering, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Electrical And Electronic Engineering,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,5,CAR-111
UON-1271,BACHELOR OF SCIENCE (ELECTRICAL AND ELECTRONIC ENGINEERING),bachelor-of-science-electrical-and-electronic-engineering-uon,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Electrical And Electronic Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Electrical And Electronic Engineering),UNIVERSITY OF NAIROBI,5,CAR-111
KU-1278,BACHELOR OF SCIENCE (ELECTRICAL & ELECTRONICS ENGINEERING),bachelor-of-science-electrical-electronics-engineering-ku,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Electrical & Electronics Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Electrical & Electronics Engineering),KENYATTA UNIVERSITY,5,CAR-111
TUM-1285,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,bachelor-of-science-in-mechanical-engineering-tum,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science In Mechanical Engineering, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Mechanical Engineering,TECHNICAL UNIVERSITY OF MOMBASA,5,CAR-112
UON-1292,BACHELOR OF SCIENCE (MECHANICAL ENGINEERING),bachelor-of-science-mechanical-engineering-uon,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Mechanical Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Mechanical Engineering),UNIVERSITY OF NAIROBI,5,CAR-112
TUK-1299,BACHELOR OF ENGINEERING (MECHANICAL ENGINEERING),bachelor-of-engineering-mechanical-engineering-tuk,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Engineering (Mechanical Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Engineering (Mechanical Engineering),THE TECHNICAL UNIVERSITY OF KENYA,5,CAR-112
CHUKA-1306,BACHELOR OF SCIENCE,bachelor-of-science-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in ,CHUKA UNIVERSITY,4,CAR-113
UOE-1312,BACHELOR OF SCIENCE (BSC.),bachelor-of-science-bsc-uoe,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Bsc.), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Bsc.),UNIVERSITY OF EMBU,4,CAR-114
MUST-1318,BSC (SCIENCE),bsc-science-must,"A rigorous 4-year program leading to a degree qualification in Bsc (Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Bsc (Science),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-115
LU-1324,"BACHELOR OF SCIENCE(PHYSICS, BIOLOGY,CHEMISTRY,MATHEMATICS)",bachelor-of-sciencephysics-biologychemistrymathematics-lu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science(Physics, Biology,Chemistry,Mathematics), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Physics, Biology,Chemistry,Mathematics)",LAIKIPIA UNIVERSITY,4,CAR-107
TMU-1330,"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",bachelor-of-science-basic-science-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Basic Science, With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,"Expert in (Basic Science, With It)",TOM MBOYA UNIVERSITY,4,CAR-101
EU-1342,BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),bachelor-of-science-agricultural-engineering-eu,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Agricultural Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural Engineering),EGERTON UNIVERSITY,5,CAR-117
KU-1349,BACHELOR OF SCIENCE (AGRICULTURAL & BIO-SYSTEMS ENGINEERING),bachelor-of-science-agricultural-bio-systems-engineering-ku,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Agricultural & Bio-Systems Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural & Bio-Systems Engineering),KENYATTA UNIVERSITY,5,CAR-117
UOE-1356,BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING),bachelor-of-engineering-agricultural-bio-systems-engineering-uoe,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Engineering (Agricultural & Bio-Systems Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Engineering (Agricultural & Bio-Systems Engineering),UNIVERSITY OF ELDORET,5,CAR-117
JKUAT-1362,BACHELOR OF SCIENCE (AGRICULTURAL AND BIOSYSTEMS ENGINEERING),bachelor-of-science-agricultural-and-biosystems-engineering-jkuat,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Agricultural And Biosystems Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agricultural And Biosystems Engineering),JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,5,CAR-117
UON-1369,BACHELOR OF SCIENCE (BIOSYSTEMS ENGINEERING),bachelor-of-science-biosystems-engineering-uon,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Science (Biosystems Engineering), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Biosystems Engineering),UNIVERSITY OF NAIROBI,5,CAR-118
CHUKA-1376,BACHELOR OF SCIENCE (AGRICULTURE),bachelor-of-science-agriculture-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agriculture), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agriculture),CHUKA UNIVERSITY,4,CAR-117
EU-1382,BACHELOR OF SCIENCE (AGRICULTURE),bachelor-of-science-agriculture-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Agriculture), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Agriculture),EGERTON UNIVERSITY,4,CAR-117
TTU-1383,BACHELOR OF SCIENCE IN AGRICULTURE,bachelor-of-science-in-agriculture-ttu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Agriculture, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Agriculture,TAITA TAVETA UNIVERSITY,4,CAR-117
JKUAT-1389,BACHELOR OF SCIENCE IN AGRICULTURE,bachelor-of-science-in-agriculture-jkuat,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Agriculture, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Agriculture,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,4,CAR-117
KSU-1390,BACHELOR OF SCIENCE (MICROBIOLOGY),bachelor-of-science-microbiology-ksu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Microbiology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Microbiology),KISII UNIVERSITY,4,CAR-107
JKUAT-1396,BACHELOR OF SCIENCE (MICROBIOLOGY),bachelor-of-science-microbiology-jkuat,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Microbiology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Microbiology),JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,4,CAR-107
CHUKA-1403,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),bachelor-of-science-food-science-technology-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food Science & Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Food Science & Technology),CHUKA UNIVERSITY,4,CAR-119
EU-1409,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),bachelor-of-science-food-science-technology-eu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food Science & Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Food Science & Technology),EGERTON UNIVERSITY,4,CAR-119
MMUOS-1410,BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),bachelor-of-science-food-science-and-technology-mmuos,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food Science And Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Food Science And Technology),MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-120
TUM-1414,BACHELOR OF SCIENCE IN FOOD TECHNOLOGY & QUALITY ASSURANCE,bachelor-of-science-in-food-technology-quality-assurance-tum,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science In Food Technology & Quality Assurance, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Food Technology & Quality Assurance,TECHNICAL UNIVERSITY OF MOMBASA,4,CAR-101
UON-1427,BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),bachelor-of-science-food-science-and-technology-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Food Science And Technology), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Food Science And Technology),UNIVERSITY OF NAIROBI,4,CAR-120
